,Total
30,1,0,95,2,11,37,0,1,220,161,557,598,124,8,636,218,823,124,509,409,228,153,692,696,138,1,173,55,872,128,405,324,598,55,373,9425
31,1,0,43,0,8,22,0,1,226,144,565,595,924,6,137,220,458,113,500,426,190,106,665,709,792,0,668,45,227,109,446,504,537,58,334,9779
32,1,0,60,3,11,22,2,0,213,136,551,550,118,7,578,189,721,118,482,442,189,106,656,665,105,0,169,35,803,132,423,259,516,59,349,8670
33,1,0,22,0,3,17,0,0,196,119,491,508,826,4,543,193,457,110,470,340,162,90,667,668,691,0,623,35,203,121,403,393,441,41,324,9162
34,0,0,37,1,6,16,0,0,167,125,486,477,114,2,136,203,638,115,421,354,144,81,616,606,117,0,145,42,697,118,392,254,454,50,312,7326
35,1,0,13,0,3,12,0,0,170,90,446,456,750,4,477,142,419,88,415,313,147,67,553,587,679,0,558,38,217,140,342,380,357,33,273,8170
36,0,0,36,1,2,11,0,0,141,77,429,462,108,6,141,134,593,100,421,334,135,59,567,533,93,1,150,29,664,124,338,235,409,27,286,6646
37,0,0,11,1,0,9,0,1,112,77,423,431,613,3,437,136,416,74,390,299,115,85,542,561,548,0,477,26,185,98,271,300,322,26,226,7215
38,0,0,24,2,3,8,0,0,143,84,393,422,96,11,172,123,567,70,326,267,112,54,548,543,76,0,119,19,639,102,319,231,311,26,236,6046
39,0,0,4,0,1,10,0,1,117,86,345,405,573,5,328,121,377,53,337,290,93,70,487,522,498,0,461,19,185,112,285,301,297,20,199,6602
40,0,0,19,0,1,12,0,1,109,51,344,378,89,3,354,109,466,61,333,316,93,44,485,519,73,0,108,19,600,93,265,194,255,23,216,5633
41,1,0,9,0,0,7,0,1,108,65,350,335,560,8,137,116,351,62,322,250,87,58,459,506,542,0,384,18,171,97,248,281,259,15,194,6001
42,0,0,15,0,1,10,0,1,103,56,304,357,48,3,354,120,478,64,281,230,111,48,422,440,77,1,105,19,546,75,249,163,227,19,173,5100
43,0,0,5,0,1,7,0,1,85,34,307,365,489,10,107,89,325,43,287,236,86,32,393,422,467,0,324,12,164,81,230,223,215,19,179,5238
44,0,0,7,1,1,4,0,1,83,51,298,310,72,3,307,109,485,58,285,232,77,36,415,400,57,1,102,15,498,78,231,162,197,10,183,4769
